Name,Star Rating,Verifed Review,Helpful Vote Count,Date,Author,Author Link,Review Link,Review Text
Strong and durable,5,YES,0," August 2, 2018",Ruthie P,https://amazon.com//gp/profile/amzn1.account.AHZQTBVDXF33T73EV6WQY3S5KRZA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1A3GBXPY442BU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Ordered for my granddaughter in college. Went thru 2 cheaper ones on windy days.  This one holds up in wind and rain.
Five Stars,5,YES,0," November 1, 2017",S. H.,https://amazon.com//gp/profile/amzn1.account.AHGNQL42GYLS34DVMYRYLONA5LQA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R205W20M2J9AGX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,This is a birthday gift so it hasn‰Ûªt been opened yet.  The recipient used the umbrella last weekend and really liked it.  It was windy and it didn‰Ûªt turn inside out.
Love this Umbrella!,5,YES,0," May 8, 2018",Bradley Phares,https://amazon.com//gp/profile/amzn1.account.AED5TNARUKVRIKXWZWAYYI5SIEBQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3ISDFPCAVWHL8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"So far, so good! I haven't had to use it in high winds yet, but the umbrella seems to be made of really great quality!"
a very good and portable umbrella,5,YES,0," August 6, 2018",B. K. Whittaker,https://amazon.com//gp/profile/amzn1.account.AGMQTHURYUCEFAU7Q77H5WUB5NQA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1LF7L5ROYN2LW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"So far, a very good and portable umbrella. The vendor is also very proactive in letting you know that you can get a replacement if it breaks."
Great service,5,YES,0," April 21, 2018",Topolino,https://amazon.com//gp/profile/amzn1.account.AEOURSRTZIJEOLMOA2H57EANDCZQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RRIK2A2YW12NI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Very easy to use and as sturdy as any folding umbrella I've used. Nice to have the retract function..
One of the best umbrellas I've bought,5,YES,0," February 27, 2017",Michael A.,https://amazon.com//gp/profile/amzn1.account.AF2D76MVELCRYH2FJR2272SYAGPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RRB39V4JQ3O9B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,One of the best umbrellas I've bought. It's very tough and it has the ability to close with the touch of a button so you don't have to struggle closing it. Very strong material and has held up in Chicago storms very well.
Great umbrella,5,YES,0," April 12, 2017",Janet Thibodeau,https://amazon.com//gp/profile/amzn1.account.AGLXV4KYCXTWBVDAYHGY3X6EZNQA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R269DEHRFS0NCU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Great umbrella.  Having had many small umbrellas that have fallen apart before, I can definitely say that this one feels very durable and well made.  Automatic opening works very smooth as well."
Really liked it ...,5,YES,0," January 3, 2017",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AG2VAQ2HNT4JKUB7Y7AEJRFBNZHA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RG1OV2UDTR283/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I have this product for a couple of months and I have to say it is great! The folded size is quite small and it fits everywhere. I love the fact that it gets dried very soon after I open it inside my room, less than hour ...Definitely recommended."
This appears to be an outstanding umbrella. As it ...,5,YES,0," June 21, 2017",Jay Lieberman,https://amazon.com//gp/profile/amzn1.account.AESU3WXOBRJC4E7ZSYFVJT7UP2FA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2LUO0OS3V0PAI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"This appears to be an outstanding umbrella.  As it has not rained since I bought it, I am going by looks and design.  They were purchased (2) to be carried as a travel item."
NICE !,5,YES,0," August 21, 2017",tasso taylor,https://amazon.com//gp/profile/amzn1.account.AFFD4JAXXYOP43GO2IYV2J4YLM2A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3Q02GL7LZ121J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Wife luvs it! Now she doesn't make a mess when she is shopping in the rain! Some businesses run out of umbrella bags, now she don't have to worry about it! Thanks!"
Well made.,5,YES,0," January 18, 2017",R. Darter,https://amazon.com//gp/profile/amzn1.account.AEVWDUEIQCS5JKPRMHB43WUQMQUA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R16H5KDF7JMH8L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Due to our local weathermans inability to even look out the window. Living in Southern California in the ""winter"" or ""rainy season"". I find it quite useful to keep a small umbrella in my vehicle. The cheap throw-a ways I kept there in the past would generally die after one or two uses. This one seems to be very well made, and I have high hopes for many years of use."
Haven't tested it yet but seems sturdy. The only problem it is kind of difficult ...,5,YES,0," September 27, 2017",Petr Muntyan,https://amazon.com//gp/profile/amzn1.account.AHWLHKWBZ3FTUJ5HQIXG4VMIZ4MA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RY21EUAST6X5V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Haven't tested it yet but seems sturdy. The only problem it is kind of difficult to put the umbrella back in the bag after opening it.Update. So far this lil guy stood up against 3 major rains and held his ground perfectly.
"If you need a compact umbrella, here you go.",4,YES,0," July 17, 2017",Zach Flaschner,https://amazon.com//gp/profile/amzn1.account.AFJHLIK35675W2326FNR45PMSWPA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1HXEYNY21M3IH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Never actually bought my own umbrella before so this was a first. Comparing it to ones I have used in the past, it is a bit smaller, and lighter. Honestly had my doubts with it in the beginning because I had a few problems opening it with the button. But it ended up working great and has no issues in windy weather as well."
Held up in windy rain.,5,YES,0," June 17, 2017",Grammy,https://amazon.com//gp/profile/amzn1.account.AF7SD4SLYU7LUBSBM33DXOCD24YA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2NX5WVIN8UYP0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I've only used the umbrella a few times, but it seemed to hold up well in a windy rain we had a few month back.  As I use it more, I will go back and update my review accordingly."
Five Stars,5,YES,0," July 26, 2018",IT Guy,https://amazon.com//gp/profile/amzn1.account.AHMQJ7CHL4DVM54OKFH4A45SZMBQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R37339LGQE69M6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Great umbrella. Functions as its suppose to.Would recommend this Umbrella to friends and family.
Raindrops wont be falling on my head,5,YES,0," July 2, 2017",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AHT75C6THWQVZOLMU3HTUD26TW5A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1PSOQUA3ON6OI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Shipping was almost immediate. But the kicker for me is the warranty...lifetime warranty is almost obsolete these days and I was pleasantly surprised that it was offered for this product. Haven't had to use it yet but have opened and closed it (outside of course) and it has a smooth action. Looks to be made of high quality. If your in the market for a new umbrella...I definately recommend this one. Stay dry my friends!
Ingenious mechanism,5,YES,0," September 9, 2017",Overstreet,https://amazon.com//gp/profile/amzn1.account.AEWCTLW2F2LTDCRQC7PB2AZ2UO7Q/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1TEYAN5YUQWEG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,I too am amazed at the ingenious mechanism that extends the umbrella and also folds it using only one button. I was sceptical but it works as advertised.
Pretty disappointed. We were opening the umbrella to use ...,1,YES,0," March 13, 2018",erasoup,https://amazon.com//gp/profile/amzn1.account.AGHRIPGJJFGMAGRULDH55RCZS2MQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3VSL0XFVNVC29/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Pretty disappointed. We were opening the umbrella to use for the first time and noticed a huge hole in one of the seams. Not the quality I was expecting for the price I paid. Unfortunately it was completely useless. The seller said they would issue a refund but never did. Would not recommend.
Superior to any umbrella I've used,5,YES,0," January 12, 2018",Mybusiness,https://amazon.com//gp/profile/amzn1.account.AHXDI2KCJK4VJVCLVO4GEL2YR73Q/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2XZ2U74Z6TIM8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Superior to any umbrella I've used. No false claims and great quality to this item.  Would order again and do recommend it.
"Good ""windproof"" umbrella",5,YES,0," June 4, 2017",Nick G,https://amazon.com//gp/profile/amzn1.account.AHDXZU6AKMD2DOW2YE2BB2H6OPYA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R30DVMV1Y39PGT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Excellent umbrella. I've used it in some fairly heavy storms and while it did flip inside out a couple times, there was no bending or damage to the umbrella like the last one I had."
"High-quality, solid performer",5,YES,0," September 10, 2017",Glenn R. Miller,https://amazon.com//gp/profile/amzn1.account.AGA423RDQNRB6ZEZQ5YXBWW6AFEA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3EPM2HH6D4X7K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Packaged nicely and delivered on time, sturdy high-quality construction. Pushing the open button results in a solid, quick opening. Easy to close and wrap it up to store it again, too."
Great Umbrella in the Wind !,5,YES,On," July 2, 2017",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AGAGHJU5AX4U46SINSTA3T5CKNGQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R15WO4DCENMXEF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Really awesome umbrella!  I am always skeptical of umbrella durability but I live in Florida where we get storms just about every day.  This umbrella is easy to open and close and is extremely durable in the wind.  I would recommend this umbrella to anyone who needs a durable option to a store bought umbrella.
Light and tough umbrella,5,YES,On," August 5, 2017",Loren,https://amazon.com//gp/profile/amzn1.account.AE72RYOUCW27MW7GT6HYIWHNIPOA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1Z77R7NGB8FHH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,small and tough.
Five Stars,5,YES,0," April 12, 2018",C. Callahan,https://amazon.com//gp/profile/amzn1.account.AFQHEP2B2EEISA54GWT2DYRFZXFA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R196CZFFVUIUNN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Light, strong, and really sheds water. Definitely not large enough to share."
Good little umbrella!,5,YES,0," September 5, 2017",bboamx,https://amazon.com//gp/profile/amzn1.account.AFOBICTFL3R3UFXHOLGSWLV27H2A/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R16KSRNC6WR0TI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Just what I need for carrying an umbrella back and forth to the office.  Briefcase size, and it goes up or down very easily.  Not bad."
"Touchy Switch, But Worth It",5,YES,0," April 20, 2017",Justin Ammerman,https://amazon.com//gp/profile/amzn1.account.AGD7R3PUWWY7PGCGYNG4FNAA42NA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3UO9CM62HWW6B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Worth the premium for the extra reinforcement and coating.One thing to note is that I've accidentally misfired the automatic close while naturally holding the umbrella once it's open. If there were to be a redesign, I'd suggest moving away from a toggle button if at all possible. That's a minor complaint, though. The product is more than worth it."
Great umbrella,5,YES,0," July 25, 2018",Marivi Monver,https://amazon.com//gp/profile/amzn1.account.AEI6MSZESNY6GGQ2VP2Y34BXUS3Q/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2TSF0L5TFSL65/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,It‰Ûªs an umbrella. It does what it‰Ûªs supposed to do. I like the flexibility feature
Nifty umbrella,5,YES,0," July 28, 2017",LindaY,https://amazon.com//gp/profile/amzn1.account.AFA2SOSRAUU3LY34DA6QINRGWGIA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3BJN17K9UR94J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Pretty nifty umbrella, the way it pops open and closed.  Time will tell if this umbrella can withstand all this opening and closing.  The lifetime guarantee sure helps!  The umbrella is a good size -- not so small that it's flimsy and not so big that it's unwieldy.  Bought it for my son who is heading off to college."
"Nice, compact, and sturdy umbrella",5,YES,0," June 25, 2018",D. J.,https://amazon.com//gp/profile/amzn1.account.AGWNLH2PTSUWKSYZMC3MNSKUKYSA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1IB180WMSKTWP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Nice, compact umbrella. Easy to open and close. Great for travel. Very sturdy."
Five Stars,5,YES,On," August 30, 2017",munsoro,https://amazon.com//gp/profile/amzn1.account.AHWEZWT2645OD3D32HXCVLAZFI4Q/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3P6R8FQ2U18W8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Have used once in rain with heavy wind gusts with no problems!
Looks good!,5,YES,0," February 21, 2017",D. Franklin,https://amazon.com//gp/profile/amzn1.account.AEFYYZTREG7M4UOI3HQXKXONHMZQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RIBYDHT20MDMZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I've only had this for 3 days and have not had an opportunity to use it yet, but it appears to be of good quality and easy to use. The fact that there's a lifetime warranty is a plus - if it doesn't hold up, I should be able to receive another that will!"
but it was received on time and looks good appears to function well,5,YES,0," October 7, 2017",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AEH6NZ3JJVV4LBUNT7MS5TYVKTFQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R17MI5I64E75T6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Have not used it yet so cannot comment on function.  but it was received on time and looks good appears to function well.
Fine Umbrella,5,YES,0," September 23, 2016",Juan Baltazar,https://amazon.com//gp/profile/amzn1.account.AEHYEL3GKEJKYN4237I5F7CEZZPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2XGA926UQCO0D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Small and portable! The umbrella pops up and down at the push of the button. Holds up great in the wind. The material that its made of prevents it from soaking the area you leave it to dry. Main things is that its very portable, you can leave it in the car. You never know this Texas weather."
Good quality product,4,YES,0," September 16, 2017",Arnell,https://amazon.com//gp/profile/amzn1.account.AFTEFLXREV6XWYCUT2FNXWCJLOPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1JGHKZWPNYFQA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Good quality product.  This is very compact, well as compact as it can get for it's size, and well-built.  I would recommend."
Simple and easy,5,YES,On," August 4, 2017",Mesmiro,https://amazon.com//gp/profile/amzn1.account.AHQ4ODD66VE6CIIZKOHIGPE7MOPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R65Q7JX6045U8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,An awesome umbrella! Most of the water just falls off when you shake it. Closing and putting it away is so simple and easy. I would recommend this product.
Excellent umbrella,5,YES,0," November 20, 2017",dajazz,https://amazon.com//gp/profile/amzn1.account.AFDGENPZNNCLPJ6D274M5THGQJOQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1UZITJQYD3E38/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"I‰Ûªve never looked forward to rain....then I bought this umbrella. Sure the rain still stinks, but knowing you‰Ûªve got a great umbrella gives a lot of peace of mind"
"Simple, functional, somewhat self-drying",5,YES,0," September 30, 2017",Anubhab Haldar,https://amazon.com//gp/profile/amzn1.account.AFVBVITS2HGSKITAJ3JJGZSJFPNA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RM86SDW77JZ6Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"This thing is great. A button click flicks it open. The same button collapses it. The collapse is a fairly fast jerking motion, which helps dry the umbrella (smart). Good product overall. Definitely would recommend. Simple, no hassle, as happy as one can be with an umbrella purchase."
The only umbrella that has lasted me longer than a ...,4,YES,0," May 7, 2018",Perry,https://amazon.com//gp/profile/amzn1.account.AFNDADAZEEGXB4QXN7TBZWLPWRKA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R373C2Z93Q9BXY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,The only umbrella that has lasted me longer than a few months.  2 years and going strong!  Very hard to close (or maybe I'm just weak).
Not great,1,YES,On," January 10, 2017",Eugene Oden,https://amazon.com//gp/profile/amzn1.account.AE4FA6DAFY2WAY3WORRBBVSJGJPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2ZYQFNZH608UG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Worked alright with light use but the closing action is unreliable, often requiring a bit of muscle to stow.  The handle loop is too small and just broke when I tried to get my hand into it on a wet windy morning.Edit: Garbage.  Handle fell apart while I was trying to close it, which had become a chore due to the failed retraction mechanism."
and had a great test under heavy wind conditions just the other day,5,YES,0," June 27, 2018",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AGMXTHMOYHZSVLAZNWR42ROXDRSQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RBQITGEQ4ELHB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"It's light, compact, and had a great test under heavy wind conditions just the other day."
An ‰÷â•ü with a tear,4,YES,On," November 9, 2017",Chris K.,https://amazon.com//gp/profile/amzn1.account.AFH7O2T6NUREMQBOVQNUY3MVEDMA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RI362PF6C7L1J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Received this with a slight tear. Too small to be worth sending back, but still a little disappointing. Otherwise this is OK; functions as described and it seems sturdily constructed."
so good. It keeps the water off and hasn't folded ...,5,YES,0," November 3, 2017",HavnFun,https://amazon.com//gp/profile/amzn1.account.AEYU7KQQLJY24X2FKWKVJFXP57LA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RUQXGRZN4VR8B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"So far, so good. It keeps the water off and hasn't folded in windy weather. The opening and closing features are a plus!"
This umbrella is surprisingly durable. I haven't had it ...,5,YES,0," October 17, 2017",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AGFY2L6JVJBZEDIXQIQ5XSFJBAEA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1XYQG1VYJ9CLA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,This umbrella is surprisingly durable. I haven't had it flip inside out so so far it holds true to it's name. And it's compact too!
Nice coverage. Haven't had a storm yet,4,YES,0," July 18, 2017",JS,https://amazon.com//gp/profile/amzn1.account.AHQXH7F3Z7D6IG4J35SUVPHFOGPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1UB39ELVF1AS5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Need to replace my travel umbrella - this one worked exactly as expected. Nice coverage. Haven't had a storm yet, but mild rain and it worked great."
Nice Umbrella,5,YES,0," June 30, 2017",mom44,https://amazon.com//gp/profile/amzn1.account.AEBCOO6Y2I5VRPZTAGGYRYXFHJXQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R2AXNXWW56GSXI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Nice well made umbrella. Handle is easy to hold. Haven't had a chance to use it during heavy wind conditions but works great in regular rain.
Broke after being dropped from below waist,2,YES,0," February 22, 2018",Patrick,https://amazon.com//gp/profile/amzn1.account.AEA263M3WVREHPEEP4TVUEHTMPMA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R328AV0E8AEG4V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"The first time I used this umbrella, I was carrying it by the handle and it slipped out of my hand from below my waist.  The plastic piece at the top broke in half when it hit the ground.  It was not a long or particularly hard drop, and I certainly didn't expect the amount of damage that occurred.  Clearly the materials that this umbrella is made of are sub par."
... ones it is a little bit more heavier and like 8 dollars more expensive,5,YES,0," April 11, 2017",Jenny,https://amazon.com//gp/profile/amzn1.account.AH3LGWOFPE6TWGJ5FPYPDWIMIQDQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R29S5LHLY05A0J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Compare with my old ones it is a little bit more heavier and like 8 dollars more expensive. But it is very good with windy weather and good size for your bag.
"Looks great, haven't used it yet.",5,YES,0," July 18, 2017",Brooke Cooley,https://amazon.com//gp/profile/amzn1.account.AFOH3VTSNPQ3HJSMZK6NCIEWUBIQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R38ND08G0QUEKV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Bought this for our office staff to use when they have to step out on rainy days.  I haven't used it yet,  but it looks great on the umbrella stand by the door"
thank you for this wonderful product,5,YES,0," March 24, 2017",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AEILYZYVLJ3YZLF7B6FCAOKRS6MQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RPK1C7JWY18AW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"This umbrella saved my life countless of times. Even thought i had it for only 3 days, i have been using my brothers for work. These are tough as a bull, No matter how hard the wind blows this umbrella does not bend nor flip. I will definitely invest more in the future. thank you for this wonderful product"
Nice portable umbrella,5,YES,0," March 5, 2018",HD Rider,https://amazon.com//gp/profile/amzn1.account.AEWTBMPIKRRUVS3DCNCIZODTVQRA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1GV4UMCSNN246/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Very compact and high quality. It dries quickly and opens and closes like magic.
(impossible for my kids of 10 and 11) I like the look,2,YES,On," November 10, 2016",diochon,https://amazon.com//gp/profile/amzn1.account.AHDMG63SCO24MAUBBPTRY54JY4MQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3NJ4U8VAX9YFP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"After 10 minutes under steady rain, the umbrella started to leak. I live in a city where it's raining everyday few months in the year so I'm concerned by this purchase.It's very difficult to close the umbrella, specially when it's wet...(impossible for my kids of 10 and 11)I like the look, the size but the fact that it's leaking is very disappointing."
This is not a product I would recommend,2,YES,0," October 11, 2016",Amazon Customer,https://amazon.com//gp/profile/amzn1.account.AEKCIR6SENOTJBNF5AC5JLGUVQVQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3PLM0XT2QLJ1H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,I didn't bother bringing this to Italy with me as when I saw it it was clear to me that it would not be keeping rain off of me as it is simply too small. I would recommend a good rain jacket rather than a travel umbrella.
perfect!,5,YES,0," January 18, 2018",Bryan Hoang,https://amazon.com//gp/profile/amzn1.account.AFWH46LLYWDY6VCMUMLN37VDSFZQ/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R363NFAO50PJHX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"The water doesn't wick off as quickly as I thought when I shake it while indoors. Other than that, perfect!"
So I can‰Ûªt evaluate how good it will be,4,YES,0," April 24, 2018",Dianne,https://amazon.com//gp/profile/amzn1.account.AG7V34EG57VV4DPJRNIDV6EDB5HA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R3HGJQPU5PL1KE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Product was as described. Haven‰Ûªt used it in a wind/rain storm yet. So I can‰Ûªt evaluate how good it will be.
Works very well. Just needs some getting used to ...,5,YES,0," August 6, 2018",Christi,https://amazon.com//gp/profile/amzn1.account.AHP5DU36ZVIOH62K3L7YI6BJEMZA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/R1OF863P6F6VHS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,Works very well.  Just needs some getting used to.  It's so automatic!
Works very well,4,YES,0," June 9, 2018",Nvh,https://amazon.com//gp/profile/amzn1.account.AHKBQTFPWH4ZOLZJECBI4L5G74JA/ref=cm_cr_arp_d_pdp?ie=UTF8,https://amazon.com//gp/customer-reviews/RKYOE6VEQYXDM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0160HYB8S,"Like the umbrella, works very well. I just wish I could find a shorter more flat for handbag."
